layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.output.dense,0.8520642201834863,0.01064407786697127,-0.0011467889908257645,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0028410040057336894,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.002848768693809755,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.002876409383025688,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.0028765522981694805,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.00035908917087816995,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8497706422018348,0.0028417635699668673,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.0106004450860107,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8486238532110092,0.010633518342879268,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8474770642201835,0.002829637193801752,0.0034403669724769603,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8463302752293578,0.010562452736248314,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8451834862385321,0.0028631886536726213,0.005733944954128378,"2,2,2,2"
