layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.001593962543574055,0.0,
bert.encoder.layer.1.output.dense,0.8509174311926605,0.005768913030964824,0.0,
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0016265665309645456,0.0,
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.0016400534117097993,0.0,
classifier,0.8509174311926605,0.00030595234976325787,0.0,
bert.encoder.layer.0.attention.self.query,0.8497706422018348,0.0016130022672059734,0.0011467889908256534,
bert.encoder.layer.0.attention.self.value,0.8497706422018348,0.0016044008142162389,0.0011467889908256534,
bert.encoder.layer.1.attention.output.dense,0.8497706422018348,0.0016073155619186423,0.0011467889908256534,
bert.encoder.layer.4.intermediate.dense,0.8497706422018348,0.005829846938075941,0.0011467889908256534,
bert.encoder.layer.0.intermediate.dense,0.8486238532110092,0.00576644909059882,0.002293577981651307,
bert.encoder.layer.2.attention.self.key,0.8486238532110092,0.001614064958713919,0.002293577981651307,
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.005801742316513785,0.002293577981651307,
