Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
24,47800000,46800017,n/a,n/a,n/a,4e8c0000,n/a,n/a,n/a,PASS
25,48000000,47000018,n/a,n/a,n/a,4f8c0000,n/a,n/a,n/a,PASS
26,48800000,47800019,n/a,n/a,n/a,508c0000,n/a,n/a,n/a,PASS
27,49000000,4800001a,n/a,n/a,n/a,518c0000,n/a,n/a,n/a,PASS
28,49800000,4880001b,n/a,n/a,n/a,528c0000,n/a,n/a,n/a,PASS
29,4a000000,4900001c,n/a,n/a,n/a,538c0000,n/a,n/a,n/a,PASS
30,4a800000,4980001d,n/a,n/a,n/a,548c0000,n/a,n/a,n/a,PASS
31,4b000000,4a00001e,n/a,n/a,n/a,558c0000,n/a,n/a,n/a,PASS
32,4b800000,4a80001f,n/a,n/a,n/a,568c0000,n/a,n/a,n/a,PASS
33,4c000000,4b000020,n/a,n/a,n/a,578c0000,n/a,n/a,n/a,PASS
34,4c800000,4b800021,n/a,n/a,n/a,588c0000,n/a,n/a,n/a,PASS
35,4d000000,4c000022,n/a,n/a,n/a,598c0000,n/a,n/a,n/a,PASS
36,4d800000,4c800023,n/a,n/a,n/a,5a8c0000,n/a,n/a,n/a,PASS
37,4e000000,4d000024,n/a,n/a,n/a,5b8c0000,n/a,n/a,n/a,PASS
38,4e800000,4d800025,n/a,n/a,n/a,5c8c0000,n/a,n/a,n/a,PASS
39,4f000000,4e000026,n/a,n/a,n/a,5d8c0000,n/a,n/a,n/a,PASS
40,4f800000,4e800027,n/a,n/a,n/a,5e8c0000,n/a,n/a,n/a,PASS
41,50000000,4f000028,n/a,n/a,n/a,5f8c0000,n/a,n/a,n/a,PASS
42,50800000,4f800029,n/a,n/a,n/a,608c0000,n/a,n/a,n/a,PASS
43,51000000,5000002a,n/a,n/a,n/a,618c0000,n/a,n/a,n/a,PASS
44,51800000,5080002b,n/a,n/a,n/a,628c0000,n/a,n/a,n/a,PASS
45,52000000,5100002c,n/a,n/a,n/a,638c0000,n/a,n/a,n/a,PASS
46,52800000,5180002d,n/a,n/a,n/a,648c0000,n/a,n/a,n/a,PASS
47,53000000,5200002e,n/a,n/a,n/a,658c0000,n/a,n/a,n/a,PASS
48,53800000,5280002f,n/a,n/a,n/a,668c0000,n/a,n/a,n/a,PASS
49,54000000,53000030,n/a,n/a,n/a,678c0000,n/a,n/a,n/a,PASS
50,54800000,53800031,n/a,n/a,n/a,688c0000,n/a,n/a,n/a,PASS
51,55000000,54000032,n/a,n/a,n/a,698c0000,n/a,n/a,n/a,PASS
52,55800000,54800033,n/a,n/a,n/a,6a8c0000,n/a,n/a,n/a,PASS
53,56000000,55000034,n/a,n/a,n/a,6b8c0000,n/a,n/a,n/a,PASS
54,56800000,55800035,n/a,n/a,n/a,6c8c0000,n/a,n/a,n/a,PASS
55,57000000,56000036,n/a,n/a,n/a,6d8c0000,n/a,n/a,n/a,PASS
56,57800000,56800037,n/a,n/a,n/a,6e8c0000,n/a,n/a,n/a,PASS
57,58000000,57000038,n/a,n/a,n/a,6f8c0000,n/a,n/a,n/a,PASS
58,58800000,57800039,n/a,n/a,n/a,708c0000,n/a,n/a,n/a,PASS
59,59000000,5800003a,n/a,n/a,n/a,718c0000,n/a,n/a,n/a,PASS
60,59800000,5880003b,n/a,n/a,n/a,728c0000,n/a,n/a,n/a,PASS
61,5a000000,5900003c,n/a,n/a,n/a,738c0000,n/a,n/a,n/a,PASS
62,5a800000,5980003d,n/a,n/a,n/a,748c0000,n/a,n/a,n/a,PASS
63,5b000000,5a00003e,n/a,n/a,n/a,758c0000,n/a,n/a,n/a,PASS
64,5b800000,5a80003f,n/a,n/a,n/a,768c0000,n/a,n/a,n/a,PASS
65,3f800000,3f900000,n/a,n/a,n/a,3fa00000,n/a,n/a,n/a,PASS
66,3f900000,3fb00000,n/a,n/a,n/a,3fdc0000,n/a,n/a,n/a,PASS
67,3fa00000,3fd00000,n/a,n/a,n/a,400c0000,n/a,n/a,n/a,PASS
