Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
1,3c000000,3b000000,n/a,n/a,n/a,37840000,n/a,n/a,n/a,PASS
2,3c800000,3b800001,n/a,n/a,n/a,38840000,n/a,n/a,n/a,PASS
3,3d000000,3c000002,n/a,n/a,n/a,39840000,n/a,n/a,n/a,PASS
4,3d800000,3c800003,n/a,n/a,n/a,3a840000,n/a,n/a,n/a,PASS
5,3e000000,3d000004,n/a,n/a,n/a,3b840000,n/a,n/a,n/a,PASS
6,3e800000,3d800005,n/a,n/a,n/a,3c840000,n/a,n/a,n/a,PASS
7,3f000000,3e000006,n/a,n/a,n/a,3d840000,n/a,n/a,n/a,PASS
8,3f800000,3e800007,n/a,n/a,n/a,3e840000,n/a,n/a,n/a,PASS
9,40000000,3f000008,n/a,n/a,n/a,3f840000,n/a,n/a,n/a,PASS
10,40800000,3f800009,n/a,n/a,n/a,40840000,n/a,n/a,n/a,PASS
11,41000000,4000000a,n/a,n/a,n/a,41840000,n/a,n/a,n/a,PASS
12,41800000,4080000b,n/a,n/a,n/a,42840000,n/a,n/a,n/a,PASS
13,42000000,4100000c,n/a,n/a,n/a,43840000,n/a,n/a,n/a,PASS
14,42800000,4180000d,n/a,n/a,n/a,44840000,n/a,n/a,n/a,PASS
15,43000000,4200000e,n/a,n/a,n/a,45840000,n/a,n/a,n/a,PASS
16,43800000,4280000f,n/a,n/a,n/a,46840000,n/a,n/a,n/a,PASS
17,44000000,43000010,n/a,n/a,n/a,47840000,n/a,n/a,n/a,PASS
18,44800000,43800011,n/a,n/a,n/a,48840000,n/a,n/a,n/a,PASS
19,45000000,44000012,n/a,n/a,n/a,49840000,n/a,n/a,n/a,PASS
20,45800000,44800013,n/a,n/a,n/a,4a840000,n/a,n/a,n/a,PASS
21,46000000,45000014,n/a,n/a,n/a,4b840000,n/a,n/a,n/a,PASS
22,46800000,45800015,n/a,n/a,n/a,4c840000,n/a,n/a,n/a,PASS
23,47000000,46000016,n/a,n/a,n/a,4d840000,n/a,n/a,n/a,PASS
24,47800000,46800017,n/a,n/a,n/a,4e840000,n/a,n/a,n/a,PASS
25,48000000,47000018,n/a,n/a,n/a,4f840000,n/a,n/a,n/a,PASS
26,48800000,47800019,n/a,n/a,n/a,50840000,n/a,n/a,n/a,PASS
27,49000000,4800001a,n/a,n/a,n/a,51840000,n/a,n/a,n/a,PASS
28,49800000,4880001b,n/a,n/a,n/a,52840000,n/a,n/a,n/a,PASS
29,4a000000,4900001c,n/a,n/a,n/a,53840000,n/a,n/a,n/a,PASS
30,4a800000,4980001d,n/a,n/a,n/a,54840000,n/a,n/a,n/a,PASS
31,4b000000,4a00001e,n/a,n/a,n/a,55840000,n/a,n/a,n/a,PASS
32,4b800000,4a80001f,n/a,n/a,n/a,56840000,n/a,n/a,n/a,PASS
33,4c000000,4b000020,n/a,n/a,n/a,57840000,n/a,n/a,n/a,PASS
34,4c800000,4b800021,n/a,n/a,n/a,58840000,n/a,n/a,n/a,PASS
35,4d000000,4c000022,n/a,n/a,n/a,59840000,n/a,n/a,n/a,PASS
36,4d800000,4c800023,n/a,n/a,n/a,5a840000,n/a,n/a,n/a,PASS
37,4e000000,4d000024,n/a,n/a,n/a,5b840000,n/a,n/a,n/a,PASS
38,4e800000,4d800025,n/a,n/a,n/a,5c840000,n/a,n/a,n/a,PASS
39,4f000000,4e000026,n/a,n/a,n/a,5d840000,n/a,n/a,n/a,PASS
40,4f800000,4e800027,n/a,n/a,n/a,5e840000,n/a,n/a,n/a,PASS
41,50000000,4f000028,n/a,n/a,n/a,5f840000,n/a,n/a,n/a,PASS
42,50800000,4f800029,n/a,n/a,n/a,60840000,n/a,n/a,n/a,PASS
43,51000000,5000002a,n/a,n/a,n/a,61840000,n/a,n/a,n/a,PASS
44,51800000,5080002b,n/a,n/a,n/a,62840000,n/a,n/a,n/a,PASS
45,52000000,5100002c,n/a,n/a,n/a,63840000,n/a,n/a,n/a,PASS
46,52800000,5180002d,n/a,n/a,n/a,64840000,n/a,n/a,n/a,PASS
47,53000000,5200002e,n/a,n/a,n/a,65840000,n/a,n/a,n/a,PASS
48,53800000,5280002f,n/a,n/a,n/a,66840000,n/a,n/a,n/a,PASS
49,54000000,53000030,n/a,n/a,n/a,67840000,n/a,n/a,n/a,PASS
50,54800000,53800031,n/a,n/a,n/a,68840000,n/a,n/a,n/a,PASS
51,55000000,54000032,n/a,n/a,n/a,69840000,n/a,n/a,n/a,PASS
52,55800000,54800033,n/a,n/a,n/a,6a840000,n/a,n/a,n/a,PASS
53,56000000,55000034,n/a,n/a,n/a,6b840000,n/a,n/a,n/a,PASS
54,56800000,55800035,n/a,n/a,n/a,6c840000,n/a,n/a,n/a,PASS
55,57000000,56000036,n/a,n/a,n/a,6d840000,n/a,n/a,n/a,PASS
56,57800000,56800037,n/a,n/a,n/a,6e840000,n/a,n/a,n/a,PASS
57,58000000,57000038,n/a,n/a,n/a,6f840000,n/a,n/a,n/a,PASS
58,58800000,57800039,n/a,n/a,n/a,70840000,n/a,n/a,n/a,PASS
59,59000000,5800003a,n/a,n/a,n/a,71840000,n/a,n/a,n/a,PASS
60,59800000,5880003b,n/a,n/a,n/a,72840000,n/a,n/a,n/a,PASS
61,5a000000,5900003c,n/a,n/a,n/a,73840000,n/a,n/a,n/a,PASS
62,5a800000,5980003d,n/a,n/a,n/a,74840000,n/a,n/a,n/a,PASS
63,5b000000,5a00003e,n/a,n/a,n/a,75840000,n/a,n/a,n/a,PASS
64,5b800000,5a80003f,n/a,n/a,n/a,76840000,n/a,n/a,n/a,PASS
65,3f800000,3f900000,n/a,n/a,n/a,3f9c0000,n/a,n/a,n/a,PASS
66,3f900000,3fb00000,n/a,n/a,n/a,3fe40000,n/a,n/a,n/a,PASS
67,3fa00000,3fd00000,n/a,n/a,n/a,40160000,n/a,n/a,n/a,PASS
68,3fb00000,3ff00000,n/a,n/a,n/a,403a0000,n/a,n/a,n/a,PASS
69,3fc00000,40100000,n/a,n/a,n/a,407c0000,n/a,n/a,n/a,PASS
70,3fd00000,40300000,n/a,n/a,n/a,40a20000,n/a,n/a,n/a,PASS
71,3fe00000,40500000,n/a,n/a,n/a,40c60000,n/a,n/a,n/a,PASS
72,3ff00000,40700000,n/a,n/a,n/a,40ea0000,n/a,n/a,n/a,PASS
73,40000000,40900000,n/a,n/a,n/a,411c0000,n/a,n/a,n/a,PASS
74,40100000,40b00000,n/a,n/a,n/a,41640000,n/a,n/a,n/a,PASS
75,40200000,40d00000,n/a,n/a,n/a,41960000,n/a,n/a,n/a,PASS
76,40300000,40f00000,n/a,n/a,n/a,41ba0000,n/a,n/a,n/a,PASS
77,40400000,41100000,n/a,n/a,n/a,41fc0000,n/a,n/a,n/a,PASS
78,40500000,41300000,n/a,n/a,n/a,42220000,n/a,n/a,n/a,PASS
79,40600000,41500000,n/a,n/a,n/a,42460000,n/a,n/a,n/a,PASS
80,40700000,41700000,n/a,n/a,n/a,426a0000,n/a,n/a,n/a,PASS
81,40800000,41900000,n/a,n/a,n/a,429c0000,n/a,n/a,n/a,PASS
82,40900000,41b00000,n/a,n/a,n/a,42e40000,n/a,n/a,n/a,PASS
83,40a00000,41d00000,n/a,n/a,n/a,43160000,n/a,n/a,n/a,PASS
84,40b00000,41f00000,n/a,n/a,n/a,433a0000,n/a,n/a,n/a,PASS
85,40c00000,42100000,n/a,n/a,n/a,437c0000,n/a,n/a,n/a,PASS
86,40d00000,42300000,n/a,n/a,n/a,43a20000,n/a,n/a,n/a,PASS
87,40e00000,42500000,n/a,n/a,n/a,43c60000,n/a,n/a,n/a,PASS
88,40f00000,42700000,n/a,n/a,n/a,43ea0000,n/a,n/a,n/a,PASS
89,41000000,42900000,n/a,n/a,n/a,441c0000,n/a,n/a,n/a,PASS
90,41100000,42b00000,n/a,n/a,n/a,44640000,n/a,n/a,n/a,PASS
91,41200000,42d00000,n/a,n/a,n/a,44960000,n/a,n/a,n/a,PASS
92,41300000,42f00000,n/a,n/a,n/a,44ba0000,n/a,n/a,n/a,PASS
93,41400000,43100000,n/a,n/a,n/a,44fc0000,n/a,n/a,n/a,PASS
94,41500000,43300000,n/a,n/a,n/a,45220000,n/a,n/a,n/a,PASS
95,41600000,43500000,n/a,n/a,n/a,45460000,n/a,n/a,n/a,PASS
96,41700000,43700000,n/a,n/a,n/a,456a0000,n/a,n/a,n/a,PASS
97,41800000,3f900000,n/a,n/a,n/a,419c0000,n/a,n/a,n/a,PASS
98,41900000,3fb00000,n/a,n/a,n/a,41e40000,n/a,n/a,n/a,PASS
99,41a00000,3fd00000,n/a,n/a,n/a,42160000,n/a,n/a,n/a,PASS
100,41b00000,3ff00000,n/a,n/a,n/a,423a0000,n/a,n/a,n/a,PASS
101,41c00000,40100000,n/a,n/a,n/a,427c0000,n/a,n/a,n/a,PASS
102,41d00000,40300000,n/a,n/a,n/a,42a20000,n/a,n/a,n/a,PASS
103,41e00000,40500000,n/a,n/a,n/a,42c60000,n/a,n/a,n/a,PASS
104,41f00000,40700000,n/a,n/a,n/a,42ea0000,n/a,n/a,n/a,PASS
105,42000000,40900000,n/a,n/a,n/a,431c0000,n/a,n/a,n/a,PASS
106,42100000,40b00000,n/a,n/a,n/a,43640000,n/a,n/a,n/a,PASS
107,42200000,40d00000,n/a,n/a,n/a,43960000,n/a,n/a,n/a,PASS
108,42300000,40f00000,n/a,n/a,n/a,43ba0000,n/a,n/a,n/a,PASS
109,42400000,41100000,n/a,n/a,n/a,43fc0000,n/a,n/a,n/a,PASS
110,42500000,41300000,n/a,n/a,n/a,44220000,n/a,n/a,n/a,PASS
111,42600000,41500000,n/a,n/a,n/a,44460000,n/a,n/a,n/a,PASS
112,42700000,41700000,n/a,n/a,n/a,446a0000,n/a,n/a,n/a,PASS
113,42800000,41900000,n/a,n/a,n/a,449c0000,n/a,n/a,n/a,PASS
114,42900000,41b00000,n/a,n/a,n/a,44e40000,n/a,n/a,n/a,PASS
115,42a00000,41d00000,n/a,n/a,n/a,45160000,n/a,n/a,n/a,PASS
116,42b00000,41f00000,n/a,n/a,n/a,453a0000,n/a,n/a,n/a,PASS
117,42c00000,42100000,n/a,n/a,n/a,457c0000,n/a,n/a,n/a,PASS
118,42d00000,42300000,n/a,n/a,n/a,45a20000,n/a,n/a,n/a,PASS
119,42e00000,42500000,n/a,n/a,n/a,45c60000,n/a,n/a,n/a,PASS
120,42f00000,42700000,n/a,n/a,n/a,45ea0000,n/a,n/a,n/a,PASS
121,43000000,42900000,n/a,n/a,n/a,461c0000,n/a,n/a,n/a,PASS
122,43100000,42b00000,n/a,n/a,n/a,46640000,n/a,n/a,n/a,PASS
123,43200000,42d00000,n/a,n/a,n/a,46960000,n/a,n/a,n/a,PASS
124,43300000,42f00000,n/a,n/a,n/a,46ba0000,n/a,n/a,n/a,PASS
125,43400000,43100000,n/a,n/a,n/a,46fc0000,n/a,n/a,n/a,PASS
126,43500000,43300000,n/a,n/a,n/a,47220000,n/a,n/a,n/a,PASS
127,43600000,43500000,n/a,n/a,n/a,47460000,n/a,n/a,n/a,PASS
128,43700000,43700000,n/a,n/a,n/a,476a0000,n/a,n/a,n/a,PASS
129,bc000000,3e000000,n/a,n/a,n/a,ba840000,n/a,n/a,n/a,PASS
130,bc800000,3e800001,n/a,n/a,n/a,bb840000,n/a,n/a,n/a,PASS
131,bd000000,3f000002,n/a,n/a,n/a,bc840000,n/a,n/a,n/a,PASS
