Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
72,3ff00000,40700000,n/a,n/a,n/a,40f00000,n/a,n/a,n/a,PASS
73,40000000,40900000,n/a,n/a,n/a,41800000,n/a,n/a,n/a,PASS
74,40100000,40b00000,n/a,n/a,n/a,41900000,n/a,n/a,n/a,PASS
75,40200000,40d00000,n/a,n/a,n/a,41a00000,n/a,n/a,n/a,PASS
76,40300000,40f00000,n/a,n/a,n/a,41b00000,n/a,n/a,n/a,PASS
77,40400000,41100000,n/a,n/a,n/a,42400000,n/a,n/a,n/a,PASS
78,40500000,41300000,n/a,n/a,n/a,42500000,n/a,n/a,n/a,PASS
79,40600000,41500000,n/a,n/a,n/a,42600000,n/a,n/a,n/a,PASS
80,40700000,41700000,n/a,n/a,n/a,42700000,n/a,n/a,n/a,PASS
81,40800000,41900000,n/a,n/a,n/a,43000000,n/a,n/a,n/a,PASS
82,40900000,41b00000,n/a,n/a,n/a,43100000,n/a,n/a,n/a,PASS
83,40a00000,41d00000,n/a,n/a,n/a,43200000,n/a,n/a,n/a,PASS
84,40b00000,41f00000,n/a,n/a,n/a,43300000,n/a,n/a,n/a,PASS
85,40c00000,42100000,n/a,n/a,n/a,43c00000,n/a,n/a,n/a,PASS
86,40d00000,42300000,n/a,n/a,n/a,43d00000,n/a,n/a,n/a,PASS
87,40e00000,42500000,n/a,n/a,n/a,43e00000,n/a,n/a,n/a,PASS
88,40f00000,42700000,n/a,n/a,n/a,43f00000,n/a,n/a,n/a,PASS
89,41000000,42900000,n/a,n/a,n/a,44800000,n/a,n/a,n/a,PASS
90,41100000,42b00000,n/a,n/a,n/a,44900000,n/a,n/a,n/a,PASS
91,41200000,42d00000,n/a,n/a,n/a,44a00000,n/a,n/a,n/a,PASS
92,41300000,42f00000,n/a,n/a,n/a,44b00000,n/a,n/a,n/a,PASS
93,41400000,43100000,n/a,n/a,n/a,45400000,n/a,n/a,n/a,PASS
94,41500000,43300000,n/a,n/a,n/a,45500000,n/a,n/a,n/a,PASS
95,41600000,43500000,n/a,n/a,n/a,45600000,n/a,n/a,n/a,PASS
96,41700000,43700000,n/a,n/a,n/a,45700000,n/a,n/a,n/a,PASS
97,41800000,3f900000,n/a,n/a,n/a,42000000,n/a,n/a,n/a,PASS
