Test,A_hex,B_hex,A_real,B_real,Exact_Result,Approx_Result,Error,Absolute_Error,Percentage_Error,Status
47,53000000,5200002e,n/a,n/a,n/a,658c002e,n/a,n/a,n/a,PASS
48,53800000,5280002f,n/a,n/a,n/a,668c002f,n/a,n/a,n/a,PASS
49,54000000,53000030,n/a,n/a,n/a,678c0030,n/a,n/a,n/a,PASS
50,54800000,53800031,n/a,n/a,n/a,688c0031,n/a,n/a,n/a,PASS
51,55000000,54000032,n/a,n/a,n/a,698c0032,n/a,n/a,n/a,PASS
52,55800000,54800033,n/a,n/a,n/a,6a8c0033,n/a,n/a,n/a,PASS
53,56000000,55000034,n/a,n/a,n/a,6b8c0034,n/a,n/a,n/a,PASS
54,56800000,55800035,n/a,n/a,n/a,6c8c0035,n/a,n/a,n/a,PASS
55,57000000,56000036,n/a,n/a,n/a,6d8c0036,n/a,n/a,n/a,PASS
56,57800000,56800037,n/a,n/a,n/a,6e8c0037,n/a,n/a,n/a,PASS
57,58000000,57000038,n/a,n/a,n/a,6f8c0038,n/a,n/a,n/a,PASS
58,58800000,57800039,n/a,n/a,n/a,708c0039,n/a,n/a,n/a,PASS
59,59000000,5800003a,n/a,n/a,n/a,718c003a,n/a,n/a,n/a,PASS
60,59800000,5880003b,n/a,n/a,n/a,728c003b,n/a,n/a,n/a,PASS
61,5a000000,5900003c,n/a,n/a,n/a,738c003c,n/a,n/a,n/a,PASS
62,5a800000,5980003d,n/a,n/a,n/a,748c003d,n/a,n/a,n/a,PASS
63,5b000000,5a00003e,n/a,n/a,n/a,758c003e,n/a,n/a,n/a,PASS
64,5b800000,5a80003f,n/a,n/a,n/a,768c003f,n/a,n/a,n/a,PASS
65,3f800000,3f900000,n/a,n/a,n/a,3f9c0000,n/a,n/a,n/a,PASS
66,3f900000,3fb00000,n/a,n/a,n/a,3fcc0000,n/a,n/a,n/a,PASS
67,3fa00000,3fd00000,n/a,n/a,n/a,3ffc0000,n/a,n/a,n/a,PASS
68,3fb00000,3ff00000,n/a,n/a,n/a,40560000,n/a,n/a,n/a,PASS
69,3fc00000,40100000,n/a,n/a,n/a,405c0000,n/a,n/a,n/a,PASS
70,3fd00000,40300000,n/a,n/a,n/a,40c60000,n/a,n/a,n/a,PASS
71,3fe00000,40500000,n/a,n/a,n/a,40de0000,n/a,n/a,n/a,PASS
72,3ff00000,40700000,n/a,n/a,n/a,40f60000,n/a,n/a,n/a,PASS
73,40000000,40900000,n/a,n/a,n/a,411c0000,n/a,n/a,n/a,PASS
74,40100000,40b00000,n/a,n/a,n/a,414c0000,n/a,n/a,n/a,PASS
75,40200000,40d00000,n/a,n/a,n/a,417c0000,n/a,n/a,n/a,PASS
76,40300000,40f00000,n/a,n/a,n/a,41d60000,n/a,n/a,n/a,PASS
77,40400000,41100000,n/a,n/a,n/a,41dc0000,n/a,n/a,n/a,PASS
78,40500000,41300000,n/a,n/a,n/a,42460000,n/a,n/a,n/a,PASS
79,40600000,41500000,n/a,n/a,n/a,425e0000,n/a,n/a,n/a,PASS
80,40700000,41700000,n/a,n/a,n/a,42760000,n/a,n/a,n/a,PASS
81,40800000,41900000,n/a,n/a,n/a,429c0000,n/a,n/a,n/a,PASS
82,40900000,41b00000,n/a,n/a,n/a,42cc0000,n/a,n/a,n/a,PASS
83,40a00000,41d00000,n/a,n/a,n/a,42fc0000,n/a,n/a,n/a,PASS
84,40b00000,41f00000,n/a,n/a,n/a,43560000,n/a,n/a,n/a,PASS
85,40c00000,42100000,n/a,n/a,n/a,435c0000,n/a,n/a,n/a,PASS
86,40d00000,42300000,n/a,n/a,n/a,43c60000,n/a,n/a,n/a,PASS
